,Title,Description,Release Date,Metascore,User Score
73,Wizards & Warriors,"In an enchanted medieval realm, an evil Pharaoh has overcome a curse to wreak havoc. Only the legendary Mavin Sword has the power to bring his defeat. With the assistance of Kerah, an angel, and Erathsmedor, a dragon, you must embark on a dangerous quest to bring an end to all evil in the land.  [Activision]","September 27, 2000",70,7.5
74,Halo Wars 2,"Lead Spartans, Warthogs and other classic Halo fighting forces in a brutal war against a terrifying new enemy on the biggest Halo battlefield ever.- All-new, Action-packed Story – The heroes of Halo Wars return to find themselves - and the galaxy - in more danger than ever. Following the events of Halo 5, the all-new story is told in action-packed missions set on the legendary Halo destination known as the Ark. Players will strategically command overwhelming firepower in large-scale battles against a terrifying threat facing the UNSC and all of humanity.- Build Your Halo Army – Construct your bases, prepare your vehicles and amass your troops. Lead them into huge battles that span across alien environments in a vast collection of campaign and multiplayer maps.- Multiplayer Warfare – Play with or against your friends and the Xbox Live community in up to 3v3 matches. All-new units with explosive firepower, Leaders with special abilities that help to turn the tide in battle and thrilling multiplayer modes are at your fingertips as you wage war on a variety of maps.- Blitz: Instant Command – Blitz is an entirely new way to experience Halo Wars and real-time strategy gameplay. Combining tactical combat with card-based strategy, your deck is your army in Blitz as you build collections of powerful Halo vehicles and troops and command those units in fast-action matches online or solo against waves of enemies.","February 17, 2017",70,6.1
75,Making History: The Calm and the Storm,"This true grand strategy game places you as the leader of a country where you use your strategic skills to make policy decisions which affect the outcome of world history. Each scenario establishes a historically accurate situation; from there on in history is in your hands. Do you build to a position of strength through industry or military, or can you find an optimum balance of both? Can you trade for needed resources or must you find and take over resource-rich territories? Will a diplomatic treaty strengthen your position, or draw you in to an unwanted conflict? These and many other decisions are yours to make. You may be a statesman, a fighter, a hero, or a scoundrel. Time to get into the Game. [Muzzy Lane Software]","March 13, 2007",70,8.2
76,Spore Galactic Adventures,"Spore Galactic Adventures adds variety and depth to the original space game in Spore, allowing players to beam down to planets, play mission-based adventures and even create their own customized adventures for the first time. Each adventure has a unique reward to upgrade a space creature with special accessories - from an Energy Blade and Stunning Charm to a Jump Jet and more. Players can fight their way to victory as a Warrior, dance with new friends as a Bard, and much more. With an almost unlimited number of user created adventures, there’s more to play than ever before. The ""adventure creator"" in Spore Galactic Adventures gives gamers the tools to make their own missions and share them with friends. [Electronic Arts]","August 27, 2008",70,7.2
77,Thief,"Garrett, the Master Thief, steps out of the shadows into the City. In this treacherous place, where the Baron’s Watch spreads a rising tide of fear and oppression, his skills are the only things he can trust. Even the most cautious citizens and their best- guarded possessions are not safe from his reach. As an uprising emerges, Garrett finds himself entangled in growing layers of conflict. Lead by Orion, the voice of the people, the tyrannized citizens will do everything they can to claim back the City from the Baron’s grasp. The revolution is inevitable. If Garrett doesn’t get involved, the streets will run red with blood and the City will tear itself apart.","February 25, 2014",70,5.9
78,MySims,"Explore a whole new world with MySims - it's your world to transform! Move to a town that has been struggling lately. With a little creativity and some help from the locals, you can make this place thrive! New for the PC you can now Play Trade and Create with your friends online! [Electronic Arts]","October 28, 2008",70,7.1
79,The Swindle,"The Swindle is a platforming, action and stealth game set in a Victorian Steampunk world.","July 28, 2015",70,5.3
80,Magrunner: Dark Pulse,"In Magrunner - Dark Pulse, the hero Yoshi and his robotic dog Newton enter the Gruckezber Magtech Challenge, a technology competition drawing contestants from around the world with a 1 million credit grand prize. They soon discover that this friendly game has a much darker purpose behind it. Now only this intrepid duo and Yoshi's mutant mentor Gamaji stand between the earth's survival and eldritch annihilation.","June 20, 2013",70,7.2
81,Super Meat Boy Forever,"The sequel to Super Meat Boy is here! Meat Boy and Bandage Girl must run, slide, tackle, jump, punch, and kick their way through over 7,000 levels to save their daughter Nugget from Dr. Fetus. Look at the graphics, listen to sound and music, and push buttons in this genuine certified video game.","December 23, 2020",70,4.2
82,Cognition: An Erica Reed Thriller Episode 4 - The Cain Killer,,"September 19, 2013",70,7.1
83,Lumino City,"A sequel to Lume, Lumino City begins where that game left off. Begin by exploring the city, and using your ingenuity piece together all sorts of puzzling mechanisms to help the people who live in its unique world.","December 2, 2014",70,7.8
84,Kingdoms of Amalur: Re-Reckoning,"The hit RPG returns! From the minds of the bestselling author R.A. Salvatore, spawn creator Todd mcfarlane, and Elder Scrolls IV: oblivion lead designer Ken rolston, comes kingdoms of amalur: re-reckoning. Remastered with stunning visuals and refined gameplay re-reckoning delivers intense, customizable RPG combat inside a sprawling game world. Uncover the secrets of amalur, from the vibrant city of rathir to the vast region of dalentarth to the grim dungeons of the brigand Hall caverns. Rescue a world torn apart by a vicious war and control the keys to immortality as the first Warrior ever to be resurrected from the grips of death. 

* Build the ideal character for the most intense combat, choosing from a countless combinations of skills, abilities, weapons and pieces of armor
* The revolutionary destiny system allows you to continuously evolve your character class to your style of play
* Seamlessly Integrate magical and melee attacks as you take on scores of enemies in grand fight sequences and finish them Off with brutal fate shift kills
* Extend your experience in amalur with all DLC from the original release, from teeth of naros to Legend of Dead kel and more!
* Hundreds of hours of RPG play await! Travel from the vibrant city of rathir, to the vast region of dalentarth, and the grim dungeons of the brigand Hall caverns as you uncover the secrets of amalur!","September 8, 2020",70,6.7
85,Road Redemption,"Road Redemption is an action racing game where you lead your motorcycle gang on an epic journey of pursuit, blood, and speed. Through your travels, you will upgrade your character, bike, and weapons by completing races, assassinations, robberies, and more. You’ll need to use kicks, grabs, counters, and other moves to stay alive. Death is a constant companion on the roads of the wasteland, but it is not an end if you are killed, you keep everything you’ve earned so you can get back in the race. Through local and online multiplayer, you can work together with your friends or grind them into road dust beneath your tires. You can play multiplayer online or through 2-4 player splitscreen.","October 4, 2017",70,7.1
86,Dandara,"In a bizarre universe in which the oppressed are on the verge of oblivion, Dandara has awoken to reshape the world. The world of Salt hangs on the brink of collapse. The citizens, once free spirits, now stand oppressed and isolated. But not all is lost, for out of this aether of fear arises a heroine, a ray of hope. Her name is Dandara.","February 6, 2018",70,7.5
87,Senran Kagura Shinovi Versus,"SENRAN KAGURA SHINOVI VERSUS immediately follows the events of SENRAN KAGURA Burst, revisiting the fierce rivalry between the girls of Hanz? National Academy and their sworn enemies from Hebijo Clandestine Girls’ Academy, the latter of which have now gone underground and formed a mercenary strike team known as the Homura Crimson Squad. In addition to their old adversaries, the Hanz? girls must also face a whole new set of foes: the students of Gessen Girls’ Academy, who seek to punish them for their imperfections as shinobi warriors. Meanwhile, a new class is in session at Hebijo, and these students mean business: they oppose all three of the competing factions and will stop at nothing to be the last shinobi squad standing – even if it means leaving broken bodies and shattered dreams in their wake.","June 1, 2016",70,7.2
88,Evochron Mercenary,"Trading commodities while sneaking past hostile forces, racing the best pilots in the area, mining for diamonds, negotiating for survival, spying for a curious energy company, cleaning dirty solar arrays, transporting an impatient passenger... and that's just on a Monday. The life of an independent mercenary is rarely without excitement. At times, you may choose to work under contract, while at others, you may want to take matters into your own hands in a quest to build your reputation and fortune. Your spacecraft awaits. Your adventure begins in the Sapphire solar system.

  In Evochron, you are free to seek your fortune as an independent mercenary in an adventure directed by your choices, abilities, and accomplishments. Each player can bring their unique skills and interests to the game, forming clans for cooperative goals or remaining solo to complete objectives on their own in true freeform space-sim gameplay.","September 17, 2010",70,7.6
89,Blue Fire,"Embark on an extraordinary adventure through the perished world of Penumbra to explore unique temples filled with increasingly difficult 3D platforming challenges, diverse enemies, quests, collectibles, and more. Slash daunting adversaries, leap through deadly traps and master the art of movement.","February 4, 2021",70,7.3
90,Mosaic,"You live a monotonous life in a cold city, with no real sense of meaning - until one crucial day, when strange things start to happen and everything changes. Mosaic is an atmospheric adventure game that might change your perspective on life.","December 5, 2019",70,6.3
91,Law & Order: Dead on the Money,"Join the Law & Order team in this exciting 3-D mystery game based on an original, complex murder case. Partner with Detective Lennie Briscoe to collect evidence and interview witnesses. Once you've arrested the killer, work with Serena Southerlyn to build a compelling case that will convince the jury to return a guilty verdict. [Legacy Interactive]","September 24, 2002",70,7.5
92,Steel Soldiers,"The Bitmap brothers bring us the sequel to 1996's real-time strategy ""Z,"" jumping into 3D yet sticking with the same quirky sense of ""robot"" humor and style of game that made the original game a success.","June 14, 2001",70,8.3
93,Full Spectrum Warrior: Ten Hammers,"As squad leader, players coordinate the actions of multiple infantry fire teams, leading them through a variety of hostile environments. An intuitive control scheme allows direction of squads in real-time as players outthink, outmaneuver and outgun enemies through more than 12 levels of intense warfare. Players will utilize authentic battlefield tactics as they confront the enemy with a deadly arsenal of weapons, the latest military equipment, and new Player-controlled mechanized units. With an enhanced multiplayer mode, players can go online and battle friends through a variety of new head-to-head and co-op objective-based missions. [THQ]","March 28, 2006",70,7.8
94,Beat Hazard,Experience your music collection like never before with this intense music driven arcade shooter. Each of your songs will have its own unique ebb and flow based on the music. Power up your spaceship and watch as the music boosts your firepower. Unleash hell on the enemy ships when you max out with weapon pickups! Beat Hazard seamlessly mixes the love of gaming and music. Together they become greater than the sum of their parts.,"April 15, 2010",70,7.2
95,Mother Russia Bleeds,"Mother Russia Bleeds is an ultra-violent co-op brawler overflowing with an unmistakable style and unforgettably brutal action for up to four players at once. Set in an alternate U.S.S.R, the story centers on a desperate crew of imprisoned street fighters that must overcome an oppressive criminal authority and crippling drug addictions through any means necessary. Battle solo or alongside friends locally and online in an exceptional story mode campaign or harden your resolve in a multitude of formidable challenge and versus modes.","September 5, 2016",70,6.9
96,Democracy 3,"Have you ever wanted to be president? or prime-minister? Convinced you could do a better job of running the country? Let's face it, you could hardly do a worse job than our current political leaders. 

Crime, Unemployment, National Debt, Terrorism, Climate Change...Have you got the answers to the problems that face western industrialized nations? Here is your chance to find out...","October 14, 2013",70,7.2
97,Anomaly Defenders,"Anomaly Defenders is the closing installment of the Anomaly series. The original incarnation of the Tower Offense sub-genre had players controlling humans fighting alien invaders. Now, the tables have turned. The human counterattack is underway and the alien homeworld is under threat.","May 29, 2014",70,6.5
98,Wailing Heights,"A body-hopping, musical adventure game, set in a horrific hamlet of monsters, with a story by Kevin Beimers (Hector: Badge of Carnage) and glorious 2D artwork from a host of illustrious comic book talent.","April 27, 2016",70,7.0
99,Legacy of Kain: Defiance,"The next chapter in the epic Legacy of Kain series is a cutting-edge action/adventure game featuring more action then ever before. Take control of two powerful and highly evolved vampires: Kain, an all-powerful demigod, and Raziel, a demonic angel of death. Each equipped with a legendary sword, Kain & Raziel must battle through a world loaded with conflict and intrigue as they attempt to unravel their destinies and defeat the dark forces that seek to condemn their world to eternal damnation. [Eidos Interactive]","December 17, 2003",70,8.7
0,The Council - Episode 2: Hide and Seek,"Louis de Richet is on Lord Mortimer’s island where he is still in search of his mother. Here he has met a collection of the most influential people alive, invited to help reshape the world. His investigation is interrupted by tragic events on the second night in the mansion, meaning Louis must answer to the enigmatic Lord Mortimer. Meanwhile the Spanish head of state joins the guests and brings news that threatens the stability of all of Europe - Louis must pick a side as factions begin to form.","May 15, 2018",70,7.3
1,Star Wars Galaxies: Episode III Rage of the Wookiees,"Be the first to experience Episode III related content in Star Wars Galaxies, a digital download. Explore Kashyyyk - the home planet of the Wookiees is being added as an entirely new adventure planet and space zone. Adventure through over 100 story-driven quests - Join the Wookiees in their fight for freedom against their Imperial-supported Trandoshan slavers or support the Empire in their mission of quelling the spread of the Rebellion! Visit and discover several points of interest and adventure zones including the Wookiee-run tree cities, Trandoshan-controlled slave camps and the safari lands of the affluent Rodians. Pilot new starcraft inspired by Star Wars Episode III: Revenge of the Sith including Anakin’s Jedi Starfighter model. Enhance your character with radical new cybernetic parts that add special abilities and improve your performance in combat. Embark on daring new space mining missions to recover precious raw materials for sale to ground-based crafters. Surviving slews of pirates will provide unprecedented economic opportunities. And experience the all new combat system featuring new weapons, new armor, new effects and an all new user-interface to make combat even more engaging and fun. [LucasArts]","May 5, 2005",70,4.2
2,Puzzle Agent,"Take the Professor Layton games, throw in a dash of that Telltale humor, and layer on top the sharp artwork of renowned artist and animator Graham Annable, and you get Puzzle Agent, an episodic puzzle adventure. [GameSpot]","June 30, 2010",70,7.0
3,Marvel's Guardians of the Galaxy - Episode 1: Tangled Up in Blue,"Marvel’s Guardians of the Galaxy: The Telltale Series delivers a wholly new story of the universe’s unlikeliest heroes, the rag-tag band of outlaws who go by the names Star-Lord, Gamora, Drax, Rocket, and Groot. In the wake of an epic battle, the Guardians discover an artifact of unspeakable power.","April 18, 2017",70,5.6
4,Boyfriend Dungeon,Romance your swords! Capture the hearts of weapons to level them up in this “shack-and-slash” dungeon crawling adventure.,"August 11, 2021",70,5.6
5,Raji: An Ancient Epic,Raji: An Ancient Epic is an action-adventure game set in ancient India. A young girl named Raji has been chosen by the gods to stand against the demonic invasion of the human realm. Her destiny? To rescue her younger brother and face the demon lord Mahabalasura.,"October 15, 2020",70,7.7
6,Strategic Command: European Theater,"As the supreme commander of the Axis or Allied forces, the player shapes the fates of the nations at war during the Second World War in Europe. Political options, research and upgrade of equipment, management of supply and resources and the strategic employment of one's armed forces are some of the keys to success. With limited phase restrictions and wide open turns you are in complete control to try many different approaches and entertain just as many possible outcomes. The future of Europe and perhaps ultimate glory is in your hands. [Battlefront.com]","July 16, 2002",70,7.7
7,Grandia II,Each shall rise to face their destiny. Beautiful 3D landscapes and environments and over 1000 characters to interact with. Easy-to-use interface catering to newcomers and hardcore RPG fans alike. [Ubi Soft],"March 10, 2002",70,8.1
8,Project IGI: I'm Going In,Pursue and defeat a homicidal ex-Russian Colonel before he turns Europe into a nuclear wasteland in Project IGI. This first-person shooter emphasizes stealth and guile instead of massive firepower.,"December 15, 2000",70,7.8
9,F1 Championship Season 2000,"It enhances a number of the original game's features, adds a handful of new ones, and, ultimately, it will undoubtedly please racing enthusiasts and interested beginners alike.","November 30, 2000",70,7.8
10,Game of Thrones: Episode Six - The Ice Dragon,"Your chronicle is about to come to a conclusion. With House Whitehill tightening its grip on Ironrath at the behest of Ramsay Bolton, the remaining Forresters need to give their all to save the family, whether through diplomacy, subterfuge, or violent force. In the frozen wilds beyond The Wall, Gared learns the secrets of the mysterious North Grove, and Mira discovers that political games in a King's Landing controlled by Cersei Lannister often involve the highest stakes of all. What is the fate of House Forrester? When you play the Game of Thrones, you win or you die. Your choices, your story: you decide. [Telltale Games]","November 17, 2015",70,6.3
11,Starpoint Gemini 2,"Starpoint Gemini 2, like its predecessor Starpoint Gemini (2011), is an open-world 3D space simulation that combines powerful RPG mechanics with the frenzy of space combat, creating a particular blend that sets itself apart from all other games in the genre.","September 6, 2013",70,8.4
12,The Whispered World,This point & click adventure follows a modern fairy tale set in a fantasy world with hand-painted backgrounds.,"April 26, 2010",70,7.4
13,Top Spin 2,"Top Spin 2 serves up 24 top-ranked athletes (Roger Federer, Maria Sharapova and more), a wide variety of events including all four Grand Slam tournaments, a multi-season career, and a set of new risk and advanced shots. In detailed, real-world venues such as Wimbledon, gamers can create realistic player models and their own on-court style with slices, drops, top spins, lobs, and drives against the tennis world’s best-of-the-best. For experienced players, Top Spin 2 adds depth to gameplay with a number of risk shots and advanced controls, giving gamers the ability to pick apart their opponent piece-by-piece. If hard-core competition isn't your thing, take it easy and enjoy multiplayer party games, like Splash Court, Wall Breaker, and Time Bomb. The game supports up to four players on a single PC, and two players over the Internet or a LAN. [Aspyr Media]","March 16, 2007",70,7.2
14,Shadow Blade: Reload,"Kuro is a young guy on his quest to become the Shadow Blade. He seeks the teachings of the last remaining ninja master. You will guide him through challenging levels, around countless traps, sneaking past enemies or right over their dead bodies. You have to be fast, be stealthy, be aware of your environment. You have to be a Ninja!","August 10, 2015",70,7.9
15,Before the Echo,Sequence is a rhythm-based RPG in which you battle a series of opponents to escape from a mysterious tower.,"October 20, 2011",70,7.3
16,Cities XL 2011,"With Cities XL 2011, build and develop gigantic cities on realistic 3D maps, thanks to an incredible collection counting more than 700 buildings and unique structures. You are the virtual mayor and as such, you will need to find the right balance between economic development for your city, public transportation, housing, social services, leisure activities and even special events in town. Realism has been pushed a little bit deeper with larger cities, more realistic and more sophisticated than ever before!","October 14, 2010",70,5.7
17,The Solitaire Conspiracy,"We need your help, Spymaster. Join a world of near-future spies and take on a supervillain in this supercharged take on classic Solitaire. Precision engineered for replayable espionage action.","October 6, 2020",70,7.0
18,Sudden Strike 4,"Sudden Strike is back! The beloved Real Time Strategy series returns, this time with bigger battlefields, more units, better graphics, new scenarios and legendary commanders with individual abilities  all of which makes Sudden Strike 4 more tactical and realistic than ever before!

Sudden Strike 4 sends you off on three extensive campaigns set amongst the battlefields of World War 2. Commanding the British and American, German or Soviet troops, you will lead over 100 different units into battle; like the German bomber Heinkel He111, the Russian T-34 tank, the British Hawker Typhoon fighter plane and the notorious German PanzerkampfwagenVI Tiger. In a first for the Sudden Strike series, you can now choose from one of nine individual commanders, such as George Patton or Bernard Montgomery, who will each allow for different approaches to combat and boast unique abilities.

Prove your strategic expertise in over 20 demanding single player scenarios, the challenge-focused skirmish mode and the ultra-competitive multiplayer mode. Excellence will be rewarded through a unique reward system, where successfully completing missions will unlock exclusive content, such as historical film footage from the era.

Sudden Strike 4 offers countless ways to vanquish your opponents. Exploit the weak spots of tanks, set up an ambush, occupy buildings with infantry, outmaneuver the enemy with clever positioning or unleash devastating air strikes  how you approach each mission is up to you!","August 11, 2017",70,7.5
19,Echelon,"Russia's Buka Entertainment developed this space/air-combat game which combines elements from filght sim and science-fiction action games, and which pits young hotshot fighter pilots against an alien race of Velians in a series of fast-paced battles.","May 16, 2001",70,7.3
20,Soulbringer,"It features a five-act plot that involves the player in a fully 3-D world with 1,000 years of history. It includes over 60 speaking NPCs with over 450 people to meet plus over 100 locations to visit spanning an incredible 60 unique maps!  [Interplay]","June 30, 2000",70,7.8
21,Lost Planet: Extreme Condition Colonies Edition,"Lost Planet: Extreme Condition Colonies Edition provides action for both online and offline players. Gamers who missed the original Lost Planet will have the opportunity to experience the original with the added bonus of fresh new content and cross platform multi-play all at a great value price. Fans of the Lost Planet's online action will enjoy new online modes, maps, weapons and models. [Capcom]","May 27, 2008",70,7.2
22,The Sims 4,"New to the series, the Sims display a range of emotions which influence your variety of decisions in the game. Emotions give you new choices that impact your Sims and shape their stories. You can now control how your Sims engage other Sims, objects and individual moments in the game. You control the brain, corpus, and now the heart of your Sims. The Sims you generate are full of life and are defined by, among other things, their unique personalities and their varying emotions.","September 2, 2014",70,4.1
23,Retrovirus,"Players will enjoy an action-oriented shooter focused on movement along six axes, in a world designed for indoor flight.  Retrovirus will put players in control of an advanced anti-virus program within the game world, putting them up to the task of cleaning a dangerous infection from a single computer which hosts the game’s setting.  In addition to a challenging, story-driven single player campaign, Retrovirus will deliver cooperative and competitive multiplayer modes for group play.","January 31, 2013",70,6.7
24,Nostradamus: The Last Prophecy,"Nostradamus: The Last Prophecy is set in 16th century Provence, in a country ravaged by religious wars and devastated by the plague. It has been three years since Catherine de Médicis' rule as regent came to an end, but she still holds the reins of power, making her the target of repeated attacks from the French nobility. One day in March 1566, when she realises that she has fallen victim to a terrible curse, she turns to her doctor and astrologer, Michel de Nostre-Dame, better known as Nostradamus. Unfortunately, the famous prophet is too old and weak to take on such a mission alone. Refusing to abandon his queen in her hour of need, he sends his daughter Madeleine in his place. However, there is no such thing as women astrologers, let alone women doctors in medieval times. To be accepted as such, the young woman must go in disguise and assume her younger brother's identity, César, who is away for some time. Alternating between Madeleine the young woman and Madeleine disguised as César, players are plunged into a thriller where political scheming and ancestral prophecies are intertwined. The game begins as an initiatory adventure in the footsteps of her father, the prophet and astrologer, before creating all the suspense of a detective novel: from one murder to another, players make their way through a test-riddled forensic investigation. [Kheops Studio]","September 30, 2007",70,6.3
25,Midway Arcade Treasures Deluxe Edition,"Deluxe Edition Midway Arcade Treasures: Deluxe Edition lives up to its title with an abundance of Midway arcade-perfect classics from both Midway Arcade Treasures 2 and Midway Arcade Treasures 3. This collection includes a wide-array of games ranging from fighting to racing. For the first time ever on PC, gamers will hear the famous cries of ""Fight"" and ""Finish Him"" from Mortal Kombat, Mortal Kombat II and Mortal Kombat 3. Gamers will also be offered a plethora of multi-player action, in two-player hits such as Arch Rivals and Total Carnage, three-player games Rampage World Tour and Xenophobe, and the four player classic Gauntlet II. [Midway]","February 17, 2006",70,tbd
26,Mercenaries 2: World in Flames,"Mercenaries 2: World in Flames is an explosive open-world action game set in a massive, highly reactive, war-torn world. A power-hungry tyrant messes with Venezuela's oil supply, sparking an invasion that turns the country into a warzone. But for you, international crisis is all upside: You are a mercenary, and you profit from chaos. Mercenaries 2 features a slew of potential clients, all willing to pay you to do their dirty work. Dirty deeds, done for exorbitant fees. These are world powers with deep pockets, deep grudges, and enough arms and ammo to start World War III. This is your kind of environment. Mercenaries 2 features the latest and most dangerous in civilian and military tech, everything from shiny new sports cars, to the future-tech satellite-guided bunker-busting mini-nuke. Tanks, APCs, boats, luxury automobiles – you name it, you can have it delivered to you in real time. And if you run out of cash you can always 'acquire' the gear you need in the field. If you see it, you can buy it, steal it, or blow the living crap out of it. Play your own way, or play with the help of a friend in the new cooperative multiplayer mode. You are not a soldier. You don't have to play by anyone's rules. You have your own code: you will fulfill the terms of the contract, no matter what. Not everyone in the world of Mercenaries is as honorable. Everyone will try and screw you, given the chance. They think they can get away with it, because they don't know rule #1: EVERYBODY PAYS. [Pandemic Studios]","September 4, 2008",70,6.1
27,Nancy Drew: Danger By Design,"You, as Nancy Drew, intern undercover in a prestigious fashion design studio in Paris. The lead designer, Minette, hasn't quite been herself lately. She hides behind a white mask and often throws tantrums, even firing several employees. Mysterious threats arrive at the old windmill studio and other troubles lurk in the underbelly of the City of Light. Can you help Minette release her latest clothing line on time? Or will your sleuthing abroad meet an unfashionable end? [Her Interactive]","July 11, 2006",70,6.1
28,Dracula: Origin,"Assume the role of Professor Van Helsing, the celebrated vampire hunter, on the hunt for Dracula, who himself is on a quest for a mysterious manuscript that will give him the power to raise the dead. Your goal is to prevent Dracula from finding and using this manuscript, and killing him in order to liberate the souls of all those who have had the misfortune to cross his path. Using conventional Point & Click gameplay, Dracula: Origin is an adventure supported by impeccable graphics and a rich storyline taking you to London, Egypt, Austria and, of course, to Transylvania; the famous home of the great vampire. The world, inspired by the celebrated author Bram Stoker, is reproduced through 2D environments and animated 3D characters. All of the elements essential to the Dracula story, including horror, love, blood, crucifixes, stakes and garlic, are included in a disturbing and absorbing Gothic atmosphere. [Ascaron]","May 23, 2008",70,6.5
29,Homefront,"The year is 2027. The world has suffered a decade-long energy crisis, and economies have crumbled. Reduced to a mere shadow of the super power it once was, the United States became the target of a North Korean takeover. American malls, suburbs and city streets are now battlegrounds as the civilian resistance fights for freedom. Featuring a compelling single player story crafted by John Milius (Apocalypse Now, Red Dawn), Homefront immerses gamers in an interactive and cinematic FPS experience where they assume an infantry role or take command of a wide variety of aerial and ground vehicles. In a land stripped of freedom, the brave will fight for their home. [THQ]","March 14, 2011",70,5.6
30,The Moment of Silence,"The Moment of Silence is a high-tech political thriller. Players step into the shoes of Peter Wright, a communications designer currently working on the Government's 'Freedom of Speech' campaign. When a SWAT team storms his neighbour's apartment, it is Peter's job to uncover the truth behind his mysterious disappearance. [Digital Jesters]","March 1, 2005",70,6.8
31,Pride of Nations,Pride of Nations is a turn-based historical strategy game set in the colonial era of the 19th century.,"June 7, 2011",70,5.6
32,NUTS,"A single-player surveillance mystery. Record the squirrels, report your findings, and piece together what’s really going on in Melmoth Forest.","February 4, 2021",70,5.6
33,Fate of the World,"Fate of the World is a global strategy game that puts our future in your hands. Players will have to decide how the world will respond to rising temperatures, heaving populations, dwindling resources, crumbling ecosystems and brave opportunities.","February 28, 2011",70,7.5
34,Zax: The Alien Hunter,"Zax is a futuristic explorer on a solitary mission of wealth acquisition when he crash lands on a hostile, uncharted planet. With his ship suffering from rampant system failures due to the crash, Zax has no choice but to try and navigate this backwater world until he can acquire the necessary resources to repair his ship and escape with his life. [JoWood]","October 9, 2001",70,7.6
35,Enslaved: Odyssey to the West,"Enslaved takes players on a gripping, surprise-filled journey as two dissimilar characters form an uneasy union in order to survive their way through a perilous, post-apocalyptic America. A tactical action-adventure game, Enslaved centers on the complex relationship between the two main characters and challenges players to employ a mix of combat, strategy and environment traversal. With influences and contributions from top music and film industry talent, Enslaved combines beautifully rendered graphics and captivating music with seamless animation and engrossing gameplay.","October 24, 2013",70,7.7
36,Tom Clancy's Ghost Recon Phantoms,"Tom Clancy’s Ghost Recon Online, a new multi-player, third-person, cover-based tactical shooter.","August 15, 2012",70,6.5
37,Sengoku,Sengoku is a strategy game for the PC set in 15th-century feudal Japan.,"September 13, 2011",70,6.8
38,Heroes of Might and Magic V: Tribes of the East,"For the first time, play as the Orc faction and recruit heroes, build armies and manage cities as you explore and conquer legendary lands. Use tactics, skills and magic to outsmart fantasy armies while developing your heroes and unveiling the dark plot that threatens to tear the world of Ashan apart. Heroes of Might & Magic V: Tribes of the East chronicles the final chapter in the epic struggle that began with the interrupted wedding of Queen Isabel. Players follow the steps of the Necrolord Arantir as he uncovers the prophecy of the Dark Messiah of Might and Magic and exposes the Demon Sovereign's conspiracy. New Orc Faction: First made famous in Dark Messiah of Might & Magic, the brutal Orc faction now comes to the Heroes series. Savage, fiercely proud, and resolutely independent, the Orcs put the ""might"" in Might & Magic. This faction's troops include Orcs, Goblins, Cyclops, and the famed Pao Kais. Experience the dramatic conclusion of the usurper Biara's reign. Discovering the demonic influence that corrupts the Haven knights, the savage clans of the Orcs take up arms to eradicate the Inferno threat. Characters from Dark Messiah of Might & Magic also appear to bring an unexpected twist to this multi-layered plot. In addition, tribes of the East also features 10 multiplayer and five single-player maps. Every creature in the Heroes V universe gets an alternative upgrade level, increasing the total number of creatures in the Heroes of Might & Magic V line to over 170. These powerful new abilities are sure to become an integral part of your combat tactics. Expand your arsenal and gameplay with new spells, artifacts, buildings and innovative features such as the combo-based Artifact Power Link and Battle Rage, the unique racial ability of the Orcs. In order to allow both fans and newcomers to enjoy this conclusion to the Heroes V experience, Tribes of the East is a standalone product – no previous Heroes game installations will be required to play. [Ubisoft]","October 16, 2007",70,8.6
39,LEGO Universe,"With a creative and building focus, LEGO Universe invites players to explore, battle, make friends, and flex their imaginations with the brick in a vibrant online world. Developed by The LEGO Group and NetDevil, LEGO Universe is a family-friendly online game, appropriate for players aged eight and above. The LEGO brick lies at the center of the experience, and several levels of building are available, from simple gameplay-oriented challenges all the way up to sophisticated brick-by-brick building.","October 26, 2010",70,7.7
40,As Far As The Eye,"You play as the Pupils, a civilization that must reach the center of the world. You'll have to manage their resources, their buildings. Help them grow wiser through agriculture, crafting, scientific and mystical research before the world is submerged. Be careful though, you have to manage your tribe perfectly and make sure they're not starving or taken by surprise by the waters.","September 10, 2020",70,7.1
41,Surgeon Simulator 2: Access All Areas,"From 4-player co-op to the all-new Bossa Labs Creation Tool, get ready to explore an entire medical facility of wonder in this fully fleshed-out sequel.","August 27, 2020",70,6.3
42,The Bard's Tale,"One man on his own. A poet and a rogue, with no friends to speak of, no one to mourn his passing shouuld it come to that. Even those beside hime are no more boon companions than bondservants, summoned by sorcery and song, as cold and indifferent to him as the light of a wanderin' star. Is a Dragon terrorising the locals? He'll take care of it for the right price. Local princess held captiver? The Bard is your man as long as she's hot. Forget the quest to save the world, our hero is interested in just two things...Coin and Cleavage. The Bard's Tale is a new generation action-RPG with wicket humour and stunning graphics. [inXile Entertainment]","June 27, 2005",70,7.7
43,Tokyo Dark,Legend tells of a door deep below Tokyo's sewers. All who enter are lost forever. Detective Ito's partner is missing. Explore Tokyo & uncover the darkness that lays beneath the streets in this Point & Click - meets Visual Novel - narrative adventure that questions the very core of Ito's sanity.,"September 7, 2017",70,6.4
